"No.","Time","Source","Destination","Protocol","Length","Info"
"1352","16.870373","64:ff9b::14cf:4952","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","778","[TCP Spurious Retransmission] 443  >  12731 [PSH, ACK] Seq=198757 Ack=4647 Win=82944 Len=704"
"1543","21.158257","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"1628","21.552400","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","176","[TCP Previous segment not captured] , Ignored Unknown Record"
"1633","21.554286","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"1638","21.554607","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","176","[TCP Previous segment not captured] , Ignored Unknown Record"
"1643","21.554770","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"1646","21.559992","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"1656","21.560495","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","5434","[TCP Previous segment not captured] , Ignored Unknown Record"
"1666","21.561849","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"1681","21.671687","64:ff9b::8c52:7115","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  12747 [ACK] Seq=2681 Ack=1763 Win=71680 Len=1340 [TCP PDU reassembled in 1683], Application Data"
"1716","21.932433","2404:6800:4009:82b::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","322","[TCP Previous segment not captured] , Ignored Unknown Record"
"1729","21.944411","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","176","[TCP Previous segment not captured] , Ignored Unknown Record"
"1733","21.944870","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"1737","21.945623","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Fast Retransmission] 443  >  12745 [ACK] Seq=43945 Ack=2841 Win=81920 Len=1340"
"1739","21.945623","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"1742","21.952550","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","970","[TCP Previous segment not captured] , Ignored Unknown Record"
"1749","21.952957","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  12745 [ACK] Seq=57105 Ack=2841 Win=81920 Len=1340 [TCP PDU reassembled in 1753]"
"1754","21.953189","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"1761","21.953659","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  12745 [ACK] Seq=64267 Ack=2841 Win=81920 Len=1340"
"1764","21.953889","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  12745 [ACK] Seq=66947 Ack=2841 Win=81920 Len=1340"
"1765","21.953889","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"1770","21.957779","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Fast Retransmission] 443  >  12745 [ACK] Seq=62927 Ack=2841 Win=81920 Len=1340"
"1771","21.957779","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Fast Retransmission] , Ignored Unknown Record"
"1801","22.197566","2404:6800:4009:82b::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","105","[TCP Previous segment not captured] , Application Data"
"1834","22.635573","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","329","[TCP Previous segment not captured] , Ignored Unknown Record"
"1839","22.635926","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"1842","22.640053","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","305","[TCP Previous segment not captured] , Ignored Unknown Record"
"1848","22.640432","2606:4700:20::681a:e27","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  12745 [ACK] Seq=82896 Ack=3975 Win=81920 Len=1340 [TCP PDU reassembled in 1852]"
"1969","30.139017","64:ff9b::8c52:7115","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"1991","30.429526","64:ff9b::8c52:7115","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","153","[TCP Previous segment not captured] , Application Data"
"2381","33.934336","2404:6800:4009:82b::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","154","[TCP Previous segment not captured] , Ignored Unknown Record"
"2467","34.023988","2404:6800:4009:82b::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1294","[TCP Spurious Retransmission] 443  >  12755 [ACK] Seq=1 Ack=2105 Win=267264 Len=1220"
"3239","37.513303","64:ff9b::12be:7177","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"3504","38.761280","2600:9000:2354:6a00:b:14bb:ea80:93a1","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","86","[TCP Retransmission] 443  >  12765 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1220 SACK_PERM WS=512"
"3559","38.948416","64:ff9b::12be:7177","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","105","[TCP Previous segment not captured] , Application Data"
"3705","39.194721","2404:6800:4003:c01::9d","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"3727","39.231136","2600:140f:3::17df:2fb0","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1233","[TCP Previous segment not captured] , Ignored Unknown Record"
"3743","39.232085","2600:140f:3::17df:2fb0","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1233","[TCP Previous segment not captured] , Ignored Unknown Record"
"3774","39.278793","2404:6800:4003:c01::9d","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","2514","[TCP Spurious Retransmission] 443  >  12767 [PSH, ACK] Seq=1 Ack=1734 Win=267776 Len=2440"
"3781","39.310512","2404:6800:4009:826::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1294","[TCP Previous segment not captured] 443  >  12769 [PSH, ACK] Seq=3661 Ack=1776 Win=268800 Len=1220 [TCP PDU reassembled in 3787]"
"3888","39.546360","2404:6800:4009:804::2003","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"4320","40.547356","2404:6800:4009:82e::2002","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1040","[TCP Spurious Retransmission] 443  >  12775 [PSH, ACK] Seq=5603 Ack=1803 Win=267776 Len=966"
"4371","40.829589","2600:9000:2354:6a00:b:14bb:ea80:93a1","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","86","[TCP Retransmission] 443  >  12765 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1220 SACK_PERM WS=512"
"4629","42.074078","2404:6800:4009:81f::2002","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1294","[TCP Previous segment not captured] , Continuation Data"
"4633","42.089599","2404:6800:4009:81f::2002","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1294","[TCP Fast Retransmission] , Server Hello"
"4634","42.089599","2404:6800:4009:81f::2002","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1294","[TCP Fast Retransmission] , Continuation Data"
"4668","42.384293","54.189.176.132","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  12780 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1340 SACK_PERM WS=4096"
"4706","42.859233","64:ff9b::1735:832f","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"4721","42.930357","2606:4700:10::ac43:266a","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","859","[TCP Previous segment not captured] 443  >  12785 [PSH, ACK] Seq=2681 Ack=1727 Win=73728 Len=785 [TCP PDU reassembled in 4722]"
"5162","44.389466","54.189.176.132","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  12780 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1340 SACK_PERM WS=4096"
"5202","44.731293","64:ff9b::a213:8a52","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","604","[TCP Previous segment not captured] , Continuation Data"
"5207","44.914043","2600:9000:2354:6a00:b:14bb:ea80:93a1","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","86","[TCP Retransmission] 443  >  12765 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1220 SACK_PERM WS=512"
"5231","45.131957","64:ff9b::2236:7b8a","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","497","[TCP Previous segment not captured] 443  >  12791 [PSH, ACK] Seq=2681 Ack=1765 Win=268288 Len=423 [TCP PDU reassembled in 5233]"
"5273","47.739647","64:ff9b::17d3:69bb","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","148","[TCP Spurious Retransmission] 443  >  12789 [PSH, ACK] Seq=5372 Ack=8009 Win=64128 Len=74"
"5281","48.696945","64:ff9b::17d3:69bb","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","148","[TCP Retransmission] 443  >  12789 [PSH, ACK] Seq=5615 Ack=9417 Win=64128 Len=74"
"5283","48.701099","54.189.176.132","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  12780 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1340 SACK_PERM WS=4096"
"5303","49.377550","2404:6800:4009:82b::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"5506","52.498384","64:ff9b::8a71:9da7","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","851","[TCP Spurious Retransmission] 443  >  12795 [PSH, ACK] Seq=5437 Ack=1827 Win=318336 Len=777"
"5514","52.613418","138.113.157.167","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  12797 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1340 SACK_PERM WS=128"
"5525","52.696449","64:ff9b::8a71:9da7","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  12796 [ACK] Seq=2681 Ack=1763 Win=318336 Len=1340 [TCP PDU reassembled in 5532]"
"5540","52.788748","64:ff9b::8a71:9da7","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","851","[TCP Spurious Retransmission] 443  >  12796 [PSH, ACK] Seq=5437 Ack=1763 Win=318336 Len=777"
"5542","52.868317","138.113.157.167","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  12798 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1340 SACK_PERM WS=128"
"5551","53.015263","138.113.157.167","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  12797 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1340 SACK_PERM WS=128"
"5554","53.144652","2600:9000:2354:6a00:b:14bb:ea80:93a1","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","86","[TCP Retransmission] 443  >  12765 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1220 SACK_PERM WS=512"
"5556","53.254705","138.113.157.167","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  12798 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1340 SACK_PERM WS=128"
"5586","53.691605","64:ff9b::8a71:9da7","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","851","[TCP Spurious Retransmission] 443  >  12799 [PSH, ACK] Seq=5437 Ack=1827 Win=318336 Len=777"
"5588","53.787473","64:ff9b::8a71:9da7","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","86","[TCP Retransmission] 443  >  12800 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1340 SACK_PERM WS=128"
"5594","53.872061","138.113.157.167","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  12797 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1340 SACK_PERM WS=128"
"5600","53.957076","64:ff9b::8a71:9da7","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","851","[TCP Previous segment not captured] 443  >  12801 [PSH, ACK] Seq=5437 Ack=1795 Win=318336 Len=777 [TCP PDU reassembled in 5601], Application Data, Application Data"
"5605","54.052544","64:ff9b::8a71:9da7","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","851","[TCP Spurious Retransmission] 443  >  12801 [PSH, ACK] Seq=5437 Ack=1795 Win=318336 Len=777"
"5607","54.066370","138.113.157.167","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  12798 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1340 SACK_PERM WS=128"
"5611","54.194483","64:ff9b::8a71:9da7","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","86","[TCP Retransmission] 443  >  12800 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1340 SACK_PERM WS=128"
"5626","54.785686","64:ff9b::2236:7b8a","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","113","[TCP Retransmission] 443  >  12791 [PSH, ACK] Seq=4238 Ack=2571 Win=267520 Len=39"
"5628","54.785799","64:ff9b::17d3:69bb","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","148","[TCP Spurious Retransmission] 443  >  12794 [PSH, ACK] Seq=1040 Ack=5545 Win=64128 Len=74"
"5634","54.896103","138.113.157.167","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  12797 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1340 SACK_PERM WS=128"
"5635","55.021571","64:ff9b::8a71:9da7","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","86","[TCP Retransmission] 443  >  12800 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1340 SACK_PERM WS=128"
"5636","55.094457","138.113.157.167","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  12798 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1340 SACK_PERM WS=128"
"5765","55.752053","64:ff9b::300:6bd6","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","115","[TCP Previous segment not captured] , Application Data"
"5898","55.927561","138.113.157.167","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  12797 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1340 SACK_PERM WS=128"
"5953","56.062512","64:ff9b::8a71:9da7","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","86","[TCP Retransmission] 443  >  12800 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1340 SACK_PERM WS=128"
"5969","56.088375","64:ff9b::cf41:214e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"5971","56.088375","64:ff9b::cf41:214e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","513","[TCP Previous segment not captured] , Ignored Unknown Record"
"6002","56.112784","138.113.157.167","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  12798 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1340 SACK_PERM WS=128"
"6048","56.298241","64:ff9b::8ff4:c58b","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","554","[TCP Previous segment not captured] , Ignored Unknown Record"
"6065","56.317881","64:ff9b::cf41:214e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Spurious Retransmission] 443  >  12809 [ACK] Seq=2681 Ack=1797 Win=15196 Len=1340"
"6092","56.544808","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","64:ff9b::672b:5b33","TCP","86","[TCP Retransmission] 12810  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM"
"6129","56.638925","64:ff9b::8399:ce64","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  12811 [PSH, ACK] Seq=15660 Ack=6924 Win=29696 Len=1340 [TCP PDU reassembled in 6137]"
"6144","56.745806","64:ff9b::8399:ce64","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  12811 [ACK] Seq=33080 Ack=6924 Win=29696 Len=1340 [TCP PDU reassembled in 6150]"
"6149","56.746026","64:ff9b::8399:ce64","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1414","[TCP Previous segment not captured] , Continuation Data"
"6153","56.746213","64:ff9b::8399:ce64","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1414","[TCP Previous segment not captured] , Continuation Data"
"6171","56.830159","64:ff9b::8399:ce64","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1414","[TCP Previous segment not captured] , Continuation Data"
"6180","56.834613","64:ff9b::8399:ce64","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  12811 [ACK] Seq=66580 Ack=6924 Win=29696 Len=1340 [TCP PDU reassembled in 6189]"
"6191","56.835384","64:ff9b::8399:ce64","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1414","[TCP Previous segment not captured] , Continuation Data"
"6194","56.838636","64:ff9b::8399:9764","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","258","[TCP Previous segment not captured] , Ignored Unknown Record"
"6202","56.844213","54.189.176.132","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  12780 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1340 SACK_PERM WS=4096"
"6206","56.861254","192.168.254.198","103.43.91.58","TCP","66","[TCP Retransmission] 12817  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"6213","56.910682","64:ff9b::8399:ce64","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1414","[TCP Previous segment not captured] , Continuation Data"
"6216","56.910993","64:ff9b::8399:ce64","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1414","[TCP Previous segment not captured] , Continuation Data"
"6224","56.911730","64:ff9b::8399:ce64","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1414","[TCP Previous segment not captured] , Continuation Data"
